Code,Description,System,Severity,Common_Causes,Recommended_Fix,Typical_Cost,Notes
P0001,Fuel Volume Regulator Control Circuit/Open,Fuel System,Medium,Wiring issue; Faulty fuel pressure regulator; ECU malfunction,Check wiring and connections; Test fuel pressure regulator; Scan ECU for faults,100-300,Common in high-mileage vehicles
P0010,Camshaft Position Actuator Circuit (Bank 1),Engine Timing,High,Failed VVT solenoid; Wiring short; Low oil level; Sludge buildup,Check oil level; Replace VVT solenoid; Clean oil passages; Check wiring,150-400,Check oil quality first
P0011,Camshaft Position Timing Over-Advanced (Bank 1),Engine Timing,High,VVT system malfunction; Timing chain stretched; Low oil pressure,Check timing chain; Test VVT solenoid; Verify oil pressure,200-800,May require timing chain replacement
P0014,Camshaft Position Timing Over-Retarded (Bank 1 Exhaust),Engine Timing,High,Failed camshaft actuator; Wiring issue; Mechanical timing problem,Replace camshaft actuator; Check timing; Inspect wiring,200-600,Affects performance significantly
P0030,Heated Oxygen Sensor Heater Circuit (Bank 1 Sensor 1),Emissions,Medium,Faulty O2 sensor; Blown fuse; Wiring damage,Replace O2 sensor; Check fuse; Inspect wiring harness,100-250,Pre-catalytic converter sensor
P0036,Heated Oxygen Sensor Heater Circuit (Bank 1 Sensor 2),Emissions,Medium,Failed downstream O2 sensor heater; Wiring short,Replace O2 sensor; Repair wiring,100-250,Post-catalytic converter sensor
P0101,Mass Air Flow (MAF) Circuit Range/Performance,Air Intake,Medium,Dirty MAF sensor; Air leak; Faulty sensor; Clogged air filter,Clean MAF sensor; Check for air leaks; Replace air filter; Replace MAF if needed,50-300,Try cleaning before replacing
P0113,Intake Air Temperature Sensor Circuit High Input,Air Intake,Low,Failed IAT sensor; Open circuit; Wiring damage,Test IAT sensor resistance; Check wiring; Replace sensor,50-150,Often integrated with MAF
P0116,Engine Coolant Temperature Circuit Range/Performance,Cooling System,Medium,Faulty ECT sensor; Thermostat stuck; Wiring issue; Low coolant,Test ECT sensor; Check thermostat; Verify coolant level; Inspect wiring,75-200,Check coolant first
P0118,Engine Coolant Temperature Circuit High Input,Cooling System,Medium,Failed ECT sensor; Short to voltage; Bad ground,Replace ECT sensor; Repair wiring short; Check ground connection,75-150,Can cause hard starting
P0120,Throttle Position Sensor/Accelerator Pedal Position Sensor Circuit,Throttle Control,High,Faulty TPS; Wiring problem; Failed pedal sensor; Carbon buildup,Clean throttle body; Test TPS; Check wiring; Replace if needed,100-300,Modern cars use electronic throttle
P0128,Coolant Thermostat Temperature Below Regulating Temperature,Cooling System,Low,Stuck-open thermostat; Failed ECT sensor; Low coolant level,Replace thermostat; Test ECT sensor; Check coolant,100-250,Affects fuel economy and emissions
P0171,System Too Lean (Bank 1),Fuel System,Medium,Vacuum leak; MAF sensor issue; Fuel pressure low; Exhaust leak,Check for vacuum leaks; Test MAF; Verify fuel pressure; Inspect exhaust,100-500,Common code; multiple causes
P0172,System Too Rich (Bank 1),Fuel System,Medium,Faulty MAF; Stuck fuel injector; High fuel pressure; Failed O2 sensor,Test MAF sensor; Clean injectors; Check fuel pressure; Test O2 sensors,100-400,May cause fouled spark plugs
P0174,System Too Lean (Bank 2),Fuel System,Medium,Vacuum leak; MAF sensor; Low fuel pressure,Check vacuum hoses; Test MAF; Verify fuel pressure,100-500,Similar to P0171 but Bank 2
P0175,System Too Rich (Bank 2),Fuel System,Medium,Faulty O2 sensor; Leaking injector; High fuel pressure,Test O2 sensors; Check injectors; Verify fuel pressure,100-400,Bank 2 version of P0172
P0200,Injector Circuit Malfunction,Fuel Injection,High,Wiring issue; Failed injector driver; ECU fault,Check injector wiring; Test injector resistance; Scan ECU,150-600,Affects all cylinders
P0300,Random/Multiple Cylinder Misfire Detected,Ignition,High,Spark plugs; Coil packs; Fuel delivery; Compression; Vacuum leak,Replace spark plugs; Test coils; Check compression; Find vacuum leaks,100-800,Multiple possible causes
P0301,Cylinder 1 Misfire Detected,Ignition,High,Bad spark plug; Failed coil; Injector issue; Low compression,Replace spark plug; Test coil; Check injector; Compression test,100-300,Swap coil to verify
P0302,Cylinder 2 Misfire Detected,Ignition,High,Bad spark plug; Failed coil; Injector issue; Low compression,Replace spark plug; Test coil; Check injector; Compression test,100-300,Common on high-mileage engines
P0303,Cylinder 3 Misfire Detected,Ignition,High,Bad spark plug; Failed coil; Injector issue; Low compression,Replace spark plug; Test coil; Check injector; Compression test,100-300,Check adjacent cylinder too
P0304,Cylinder 4 Misfire Detected,Ignition,High,Bad spark plug; Failed coil; Injector issue; Low compression,Replace spark plug; Test coil; Check injector; Compression test,100-300,Often spark plug or coil
P0305,Cylinder 5 Misfire Detected,Ignition,High,Bad spark plug; Failed coil; Injector issue; Low compression,Replace spark plug; Test coil; Check injector; Compression test,100-300,V6/V8 engines only
P0306,Cylinder 6 Misfire Detected,Ignition,High,Bad spark plug; Failed coil; Injector issue; Low compression,Replace spark plug; Test coil; Check injector; Compression test,100-300,V6/V8 engines only
P0335,Crankshaft Position Sensor Circuit,Engine Speed/Position,Critical,Failed crank sensor; Wiring damage; Loose connector; Tone ring damage,Replace crankshaft position sensor; Check wiring; Inspect tone ring,100-250,Can cause no-start condition
P0340,Camshaft Position Sensor Circuit,Engine Timing,Critical,Failed cam sensor; Wiring issue; Timing belt/chain problem,Replace camshaft position sensor; Check timing; Inspect wiring,100-250,Verify timing marks first
P0401,Exhaust Gas Recirculation Flow Insufficient,EGR System,Medium,Clogged EGR passages; Stuck EGR valve; Carbon buildup; Faulty sensor,Clean EGR valve; Clean passages; Replace EGR valve; Test sensor,150-400,Common on diesel engines
P0420,Catalyst System Efficiency Below Threshold (Bank 1),Emissions/Catalytic Converter,Medium,Failed catalytic converter; Faulty O2 sensor; Exhaust leak; Engine misfire,Replace catalytic converter; Test O2 sensors; Fix exhaust leaks; Repair misfires,500-2000,Expensive repair; verify cause
P0430,Catalyst System Efficiency Below Threshold (Bank 2),Emissions/Catalytic Converter,Medium,Failed catalytic converter; O2 sensor; Exhaust leak,Replace catalytic converter; Test O2 sensors; Fix exhaust leaks,500-2000,Bank 2 converter
P0440,Evaporative Emission Control System Malfunction,EVAP System,Low,Loose gas cap; EVAP leak; Purge valve stuck; Vent valve issue,Tighten gas cap; Smoke test for leaks; Test purge valve; Check vent valve,50-300,Often just loose gas cap
P0442,Evaporative Emission System Leak Detected (Small Leak),EVAP System,Low,Small EVAP leak; Loose gas cap; Cracked hoses; Faulty purge valve,Perform smoke test; Tighten gas cap; Replace damaged hoses; Test valves,75-250,Requires smoke test usually
P0443,Evaporative Emission Purge Control Valve Circuit,EVAP System,Medium,Failed purge solenoid; Wiring issue; ECU problem,Test purge valve; Check wiring; Replace solenoid,100-200,Electrically operated valve
P0455,Evaporative Emission System Leak Detected (Large Leak),EVAP System,Medium,Loose/missing gas cap; Large EVAP leak; Disconnected hose,Check gas cap; Inspect EVAP system; Smoke test; Replace components,50-400,Check gas cap first!
P0456,Evaporative Emission System Leak Detected (Very Small Leak),EVAP System,Low,Tiny EVAP leak; Gas cap seal; Pinhole in hose,Perform smoke test; Replace gas cap; Find and repair leak,75-200,Difficult to locate
P0461,Fuel Level Sensor Circuit Range/Performance,Fuel System,Low,Faulty fuel level sender; Wiring issue; Stuck float,Replace fuel level sensor; Check wiring; Clean fuel tank,150-400,Affects fuel gauge accuracy
P0500,Vehicle Speed Sensor Malfunction,Transmission/Speedometer,Medium,Failed VSS; Wiring problem; Faulty speedometer,Replace VSS; Check wiring; Test speedometer circuit,100-250,Affects transmission shifting
P0505,Idle Air Control System Malfunction,Idle Control,Medium,Dirty throttle body; Failed IAC valve; Vacuum leak; Carbon buildup,Clean throttle body; Replace IAC valve; Find vacuum leaks,100-300,Try cleaning first
P0562,System Voltage Low,Charging System,High,Weak battery; Failed alternator; Wiring issue; Parasitic drain,Test battery; Test alternator; Check wiring; Find parasitic draw,100-500,Check charging system
P0601,Internal Control Module Memory Checksum Error,ECU/PCM,Critical,Failed ECU; Corrupted software; Voltage spike damage,Reprogram ECU; Replace ECU if needed; Check power supply,200-1000,May need dealer service
P0705,Transmission Range Sensor Circuit Malfunction (PRNDL Input),Transmission,Medium,Failed TR sensor; Wiring issue; Linkage problem; Low fluid,Adjust shift linkage; Replace TR sensor; Check wiring; Add fluid,150-350,Affects gear selection
P0741,Torque Converter Clutch Circuit Performance,Transmission,High,Faulty TCC solenoid; Internal transmission issue; Wiring; Low fluid,Replace TCC solenoid; Service transmission; Check fluid; Inspect wiring,200-800,May need transmission work
P0753,Shift Solenoid A Electrical,Transmission,Medium,Failed shift solenoid; Wiring short; Low transmission fluid,Replace shift solenoid; Repair wiring; Service transmission,150-400,Inside transmission
P1316,Injector Circuit/Open (Bank 1),Fuel Injection,High,Failed injector; Wiring damage; ECU driver fault,Test injector; Check wiring; Scan ECU,150-500,Manufacturer specific code
P2008,Intake Manifold Runner Control Circuit Open (Bank 1),Air Intake,Medium,Stuck runner valve; Failed actuator; Wiring issue; Carbon buildup,Clean intake manifold; Replace actuator; Check wiring,200-500,Variable intake system
P2015,Intake Manifold Runner Position Sensor Circuit (Bank 1),Air Intake,Medium,Failed position sensor; Stuck flaps; Wiring; Broken linkage,Replace position sensor; Repair flaps; Check linkage; Inspect wiring,200-600,Common VW/Audi issue
P2096,Post Catalyst Fuel Trim System Too Lean (Bank 1),Fuel System,Medium,Exhaust leak; Failed O2 sensor; Vacuum leak downstream,Find exhaust leaks; Replace downstream O2; Check for vacuum leaks,100-400,After catalytic converter
P2101,Throttle Actuator Control Motor Circuit Range/Performance,Throttle Control,High,Failed throttle body; Carbon buildup; Wiring issue; Stuck throttle,Clean throttle body; Replace throttle actuator; Check wiring,200-600,Electronic throttle control
P2177,System Too Lean Off Idle (Bank 1),Fuel System,Medium,Vacuum leak; MAF issue; Fuel pressure low; PCV valve,Find vacuum leaks; Test MAF; Check fuel pressure; Replace PCV,100-400,Lean at higher RPM
P2187,System Too Lean at Idle (Bank 1),Fuel System,Medium,Vacuum leak at idle; Dirty throttle; PCV valve; MAF,Find idle vacuum leaks; Clean throttle body; Replace PCV; Test MAF,100-350,Rough idle symptom
P2279,Intake Air System Leak,Air Intake,Medium,Torn intake boot; Loose clamp; Cracked ducting; Failed gasket,Inspect intake system; Replace damaged parts; Tighten clamps,50-200,Unmetered air entering
U0100,Lost Communication with ECU/PCM,Network/Communication,Critical,ECU failure; Wiring damage; CAN bus issue; Connector corrosion,Check ECU power; Test CAN bus; Inspect connectors; Replace ECU,200-1500,Communication error
U0121,Lost Communication with ABS Module,Network/Communication,High,Failed ABS module; Wiring damage; Bad ground; CAN bus fault,Check ABS module; Test wiring; Verify ground; Scan CAN bus,150-800,Affects ABS operation
